Time [s],TX
0.759807282,1.773
0.759826482,1.742
0.759845682,1.706
0.759864882,1.665
0.759884082,1.624
0.759903282,1.562
0.759922482,1.505
0.759941682,1.453
0.759960882,1.422
0.759980082,1.407
0.759999282,1.396
0.760018482,1.402
0.760037682,1.433
0.760056882,1.474
0.760076082,1.520
0.760095282,1.567
0.760114482,1.613
0.760133682,1.675
0.760152882,1.722
0.760172082,1.753
0.760191282,1.768
0.760210482,1.773
0.760229682,1.768
0.760248882,1.742
0.760268082,1.696
0.760287282,1.644
0.760306482,1.593
0.760325682,1.551
0.760344882,1.500
0.760364082,1.448
0.760383282,1.417
0.760402482,1.402
0.760421682,1.396
0.760440882,1.412
0.760460082,1.438
0.760479282,1.484
0.760498482,1.536
0.760517682,1.593
0.760536882,1.639
0.760556082,1.686
0.760575282,1.727
0.760594482,1.768
0.760613682,1.778
0.760632882,1.768
0.760652082,1.758
0.760671282,1.732
0.760690482,1.691
0.760709682,1.634
0.760728882,1.582
0.760748082,1.520
0.760767282,1.479
0.760786482,1.443
0.760805682,1.412
0.760824882,1.396
0.760844082,1.402
0.760863282,1.427
0.760882482,1.453
0.760901682,1.489
0.760920882,1.546
0.760940082,1.603
0.760959282,1.665
0.760978482,1.711
0.760997682,1.742
0.761016882,1.768
0.761036082,1.778
0.761055282,1.773
0.761074482,1.747
0.761093682,1.711
0.761112882,1.675
0.761132082,1.624
0.761151282,1.562
0.761170482,1.505
0.761189682,1.464
0.761208882,1.422
0.761228082,1.402
0.761247282,1.396
0.761266482,1.407
0.761285682,1.433
0.761304882,1.474
0.761324082,1.520
0.761343282,1.562
0.761362482,1.613
0.761381682,1.675
0.761400882,1.722
0.761420082,1.758
0.761439282,1.773
0.761458482,1.778
0.761477682,1.768
0.761496882,1.742
0.761516082,1.701
0.761535282,1.644
0.761554482,1.598
0.761573682,1.551
0.761592882,1.500
0.761612082,1.453
0.761631282,1.417
0.761650482,1.396
0.761669682,1.396
0.761688882,1.412
0.761708082,1.438
0.761727282,1.484
0.761746482,1.536
0.761765682,1.593
0.761784882,1.639
0.761804082,1.680
0.761823282,1.727
0.761842482,1.758
0.761861682,1.778
0.761880882,1.773
0.761900082,1.758
0.761919282,1.737
0.761938482,1.691
0.761957682,1.634
0.761976882,1.577
0.761996082,1.520
0.762015282,1.484
0.762034482,1.443
0.762053682,1.412
0.762072882,1.396
0.762092082,1.402
0.762111282,1.422
0.762130482,1.453
0.762149682,1.484
0.762168882,1.541
0.762188082,1.603
0.762207282,1.660
0.762226482,1.706
0.762245682,1.737
0.762264882,1.763
0.762284082,1.778
0.762303282,1.773
0.762322482,1.747
0.762341682,1.716
0.762360882,1.675
0.762380082,1.629
0.762399282,1.562
0.762418482,1.510
0.762437682,1.464
0.762456882,1.427
0.762476082,1.407
0.762495282,1.396
0.762514482,1.407
0.762533682,1.433
0.762552882,1.474
0.762572082,1.515
0.762591282,1.556
0.762610482,1.613
0.762629682,1.675
0.762648882,1.722
0.762668082,1.753
0.762687282,1.773
0.762706482,1.773
0.762725682,1.768
0.762744882,1.742
0.762764082,1.701
0.762783282,1.649
0.762802482,1.603
0.762821682,1.556
0.762840882,1.500
0.762860082,1.448
0.762879282,1.417
0.762898482,1.396
0.762917682,1.396
0.762936882,1.407
0.762956082,1.438
0.762975282,1.479
0.762994482,1.536
0.763013682,1.587
0.763032882,1.629
0.763052082,1.686
0.763071282,1.727
0.763090482,1.763
0.763109682,1.773
0.763128882,1.773
0.763148082,1.758
0.763167282,1.732
0.763186482,1.691
0.763205682,1.634
0.763224882,1.577
0.763244082,1.520
0.763263282,1.484
0.763282482,1.443
0.763301682,1.412
0.763320882,1.391
0.763340082,1.396
0.763359282,1.422
0.763378482,1.443
0.763397682,1.484
0.763416882,1.541
0.763436082,1.598
0.763455282,1.660
0.763474482,1.701
0.763493682,1.732
0.763512882,1.763
0.763532082,1.778
0.763551282,1.768
0.763570482,1.747
0.763589682,1.711
0.763608882,1.680
0.763628082,1.624
0.763647282,1.567
0.763666482,1.505
0.763685682,1.458
0.763704882,1.427
0.763724082,1.407
0.763743282,1.396
0.763762482,1.402
0.763781682,1.427
0.763800882,1.469
0.763820082,1.505
0.763839282,1.551
0.763858482,1.608
0.763877682,1.670
0.763896882,1.716
0.763916082,1.747
0.763935282,1.763
0.763954482,1.773
0.763973682,1.768
0.763992882,1.737
0.764012082,1.696
0.764031282,1.649
0.764050482,1.603
0.764069682,1.556
0.764088882,1.495
0.764108082,1.448
0.764127282,1.417
0.764146482,1.396
0.764165682,1.396
0.764184882,1.402
0.764204082,1.427
0.764223282,1.474
0.764242482,1.531
0.764261682,1.577
0.764280882,1.629
0.764300082,1.675
0.764319282,1.722
0.764338482,1.758
0.764357682,1.773
0.764376882,1.773
0.764396082,1.758
0.764415282,1.732
0.764434482,1.691
0.764453682,1.634
0.764472882,1.577
0.764492082,1.525
0.764511282,1.484
0.764530482,1.438
0.764549682,1.407
0.764568882,1.396
0.764588082,1.396
0.764607282,1.417
0.764626482,1.443
0.764645682,1.479
0.764664882,1.536
0.764684082,1.598
0.764703282,1.655
0.764722482,1.696
0.764741682,1.727
0.764760882,1.763
0.764780082,1.773
0.764799282,1.768
0.764818482,1.742
0.764837682,1.716
0.764856882,1.675
